Componente_1,Componente_2,Componente_3,cluster,cluster_nombre
7.0965214,0.84336174,-42.30096,0,
-26.952156,-13.950503,22.23662,3,
3.203125,-49.4804,4.6755433,2,
-6.1676173,11.931087,9.244672,3,
-11.029553,-30.654816,1.0777371,2,
-3.6388998,-30.314281,-9.329185,4,
-13.897131,-37.844166,-6.8410945,2,
-29.560389,2.1024656,-18.67446,0,
-5.712881,-16.990557,10.119658,3,
-11.30011,-35.738632,-7.6695666,2,
-11.313003,0.010355315,-7.2656617,0,
-25.882212,-3.697436,-0.2708579,3,
8.105832,19.682795,6.319687,1,
-11.683853,-2.3355095,-32.478703,0,
-8.204998,4.2286916,-7.0785794,0,
-4.646633,31.310621,-21.391064,1,
-1.9249655,11.650808,-4.2864127,1,
4.0731363,16.175095,-25.93749,1,
-0.04410782,1.03174,-18.267334,4,
-2.9501138,-4.061186,31.981857,3,
-9.449157,2.478365,0.140455,3,
-20.761616,-7.7749877,-16.433737,0,
-6.4136605,33.37725,-3.201813,1,
-20.784609,-1.4061837,0.80015004,2,
-8.199842,-1.8840392,-29.808973,0,
-4.9928946,-17.383867,10.607696,3,
34.256172,10.430502,-5.5401134,1,
-10.326504,1.6208113,12.3736,3,
1.3406907,14.629019,6.0464897,2,
4.434847,9.934434,-5.828815,1,
17.805517,30.15512,0.28575227,1,
-11.151572,38.11501,-10.297344,1,
8.1650505,33.559605,23.557695,1,
-6.417505,-12.004193,-37.658222,0,
-16.73305,-38.227345,-2.6526835,2,
-18.8904,39.182728,-13.947702,1,
-4.658054,11.7226095,6.4183154,1,
-3.1050205,-24.885479,12.69825,3,
-13.838393,-34.90339,-14.059454,2,
25.0859,5.398461,25.21243,4,
-7.9536686,-2.8792462,-6.6175485,0,
-43.1315,14.2342,9.3972225,3,
-3.0989077,27.480171,22.30326,3,
20.673805,19.251776,-6.226696,1,
-5.256157,8.628521,-8.6306095,1,
17.757605,12.360643,-16.801186,4,
12.316351,-6.532766,-26.944342,0,
-15.310395,25.94368,-7.3653274,1,
-4.9104815,26.86712,-15.5462675,1,
13.048762,-14.441065,13.909192,4,
28.980331,25.240942,-9.513472,1,
21.844315,5.305523,34.92611,1,
-29.800053,-7.195624,-12.925308,0,
27.815876,-10.842074,-3.9104939,4,
11.589735,-21.815485,-21.57255,0,
6.7719884,-1.0279475,42.55396,3,
13.556947,-22.83734,12.420771,2,
4.9818225,26.306726,27.640951,3,
38.58455,15.866642,10.692321,1,
11.818712,7.19287,-7.7474923,4,
-3.046719,12.571045,-6.7462544,1,
-20.884367,6.944849,-14.508075,0,
-6.253757,2.8484323,2.5845866,4,
-11.226546,-18.667667,8.755784,2,
-4.9770055,-36.618404,8.907898,2,
0.41553935,1.7032318,-19.22066,0,
-14.059411,-29.06595,4.317734,2,
-4.2479095,-35.13467,-9.336676,4,
-19.135609,18.048237,18.673418,1,
8.729248,-0.90889245,32.85429,4,
8.2851515,1.0496572,-27.352491,0,
-28.940622,13.191807,3.8907225,1,
8.239863,-6.280695,-26.738745,4,
-24.730251,24.954208,-4.550691,1,
4.2858047,5.9597163,30.189636,4,
-21.267803,15.760424,16.33334,1,
37.76154,-10.106519,9.560581,1,
-7.941811,-20.095783,18.732656,3,
13.826362,24.215399,-20.739006,1,
-20.815933,7.191182,-15.67619,0,
-4.165864,-1.8035756,-9.786927,0,
-10.443319,-18.665508,31.938543,3,
-12.887354,10.889645,-36.685074,0,
26.33436,-27.716532,3.5115972,2,
-20.377571,-2.1454701,-29.739689,0,
31.864748,10.460902,20.990519,1,
-0.5068958,37.415646,-13.447142,1,
-17.47176,-0.10033897,41.876125,3,
-14.9309635,-20.51975,28.622456,3,
21.810535,-30.855793,-7.875943,2,
-19.779726,-15.688405,-7.362073,0,
-10.491028,-26.363722,-26.193264,0,
15.289946,0.9638775,-8.458378,1,
-24.526907,8.130329,-31.724646,0,
17.09957,-7.2244062,5.244574,4,
-0.44964653,-32.708855,-11.777549,2,
5.738647,-10.777919,-6.4719777,0,
-5.4315157,-3.1396782,-20.570705,0,
-8.541704,-3.058789,-39.312485,0,
20.65498,36.085037,8.231217,1,
-17.24842,9.764912,-27.252684,4,
-22.88842,22.464172,-6.2574806,1,
-11.38969,19.42513,-14.384908,1,
-21.878742,-1.8233051,-19.139406,0,
28.404305,-21.914457,-16.86449,2,
-3.417158,6.2940135,-2.2756824,1,
4.9869785,-38.52925,-13.595244,4,
11.921316,20.61342,17.00253,1,
8.620197,-25.72066,0.018045394,2,
-12.538949,-6.1766844,-3.6458561,4,
-19.346027,6.813648,41.397163,3,
19.404655,31.139627,-13.375082,1,
-28.52866,-26.450575,-5.7397437,0,
9.382903,33.45107,23.351124,1,
22.829618,-0.095587984,-24.789392,1,
5.6171217,27.268599,-7.6938486,1,
-14.497907,10.177497,9.782877,1,
-32.977234,-2.4743516,13.676874,1,
20.887342,-27.873983,-12.299215,4,
-16.465252,21.69571,-20.475864,1,
-5.636178,0.5059305,6.043808,3,
21.573078,2.4062846,7.405081,4,
10.829663,9.778847,-14.9556675,1,
9.159786,-7.8154736,34.901054,4,
-28.068886,-23.743248,-6.529917,0,
29.10722,-6.994017,18.046556,1,
-11.780145,10.587574,-9.238787,1,
40.511574,1.3352168,20.794683,1,
8.732902,-0.9413151,32.913326,4,
5.8241434,14.552383,2.9086177,4,
9.437584,47.84341,-5.472279,1,
5.8174143,8.514984,-18.291452,1,
-26.731192,1.8524203,6.4018226,4,
23.894444,-15.659612,-1.8632431,2,
-10.363803,11.094439,-11.692705,1,
-25.435884,18.985464,-20.41274,1,
13.826017,-4.163891,7.914465,4,
-25.84903,-22.938158,5.4793863,3,
4.7941446,-6.1684294,2.406798,1,
-27.914808,1.4687335,11.466885,4,
9.6812,-7.0103164,3.826604,1,
3.8257484,-6.899013,-8.371247,0,
-14.827677,-1.9737697,27.347635,3,
5.517572,36.413464,-4.9854755,1,
14.571281,18.703583,-18.303381,1,
10.94654,26.523212,11.558385,1,
8.8519125,28.59894,-16.008774,1,
37.457813,0.8025192,8.889991,4,
15.205122,-8.821122,25.376719,4,
-11.211615,17.548908,-1.5143397,1,
-28.125147,16.629436,-21.68529,1,
9.456422,-4.0954456,31.809113,4,
-23.814877,23.402473,-5.724866,1,
-18.549032,1.8209982,8.698498,3,
-2.7650454,33.351814,-4.515726,1,
-21.951532,12.540506,-11.379909,1,
12.738225,3.9510272,17.834526,1,
-13.715085,1.329823,-15.780227,0,
24.437641,19.867783,14.122544,4,
1.0814759,-3.2864027,18.105171,4,
-21.607948,-17.44017,6.450474,3,
5.9967732,-21.191198,-6.4698696,2,
19.065737,25.603193,-2.2800581,1,
6.062781,-0.58623433,6.472936,4,
-13.279379,13.596757,-5.1364045,1,
8.377716,13.052291,-28.997522,1,
24.944653,24.65435,-5.980266,1,
18.58364,-23.64612,17.32551,4,
-13.600672,17.364979,-15.841629,1,
-9.162525,27.921394,14.66747,1,
-25.004642,29.469604,8.72625,1,
24.316507,9.347106,-9.430308,4,
-15.206204,16.118267,-10.142153,1,
23.63011,-1.9108124,6.7567463,4,
-20.15089,0.57734877,9.436418,3,
-4.211609,23.088757,-28.751612,1,
17.338625,-25.705156,-13.305161,2,
-1.5095221,-11.4607115,-38.575394,1,
26.062922,-27.92239,4.400645,2,
9.518105,-9.994221,-2.1862426,4,
-29.55428,19.195856,9.2656765,3,
5.2698884,5.415238,-32.629734,0,
10.938354,22.788246,29.47561,3,
5.075326,9.878194,-12.027077,4,
-2.4205751,13.766483,-36.536285,0,
19.35681,28.037008,-2.4042764,1,
0.44071218,-4.961831,-33.76511,4,
13.981552,17.235569,-0.10796841,4,
-15.076023,8.6036215,-18.102627,0,
15.2189665,18.641638,10.697318,1,
9.005811,-7.8878164,-31.991463,0,
25.85659,2.7287664,-21.938383,1,
10.458097,-10.28474,18.408762,4,
27.390398,4.828348,3.2096174,4,
19.30723,17.295311,-5.723628,4,
-0.42355758,32.14877,-13.588028,1,
-26.8102,10.11778,-27.915434,0,
-7.899125,25.970572,-13.711611,4,
17.796362,29.76736,0.36403584,1,
-17.430668,26.859886,-21.809542,4,
11.843023,20.66776,17.045998,1,
-1.675491,-19.359095,-34.42641,0,
-4.297369,7.7508574,-20.240238,0,
1.5505831,-30.957806,6.272883,2,
14.891905,-6.3305626,4.254095,4,
20.057856,-9.230793,25.23346,4,
9.470304,21.087524,11.348526,1,
14.615928,27.789293,-7.684727,1,
-18.160994,-3.8151124,2.0182488,0,
-23.823753,7.607347,-22.698822,0,
11.188315,11.858902,-4.481063,4,
17.005066,1.603922,-21.57809,1,
-16.001892,-2.1986248,-0.39901596,2,
-10.687474,13.699898,-36.474754,0,
-31.223024,-7.333361,14.743713,4,
5.8122034,-3.822068,23.476635,4,
-29.569754,-9.052821,-19.125051,0,
-5.0300164,21.559017,-29.31422,1,
-6.842048,-17.252588,10.326667,3,
27.964975,2.4197319,4.404386,4,
-24.324474,30.802992,6.657148,1,
4.4020414,-5.6339927,16.30567,3,
19.412903,-11.824272,26.070053,4,
-24.752802,-11.178849,17.693516,3,
-6.8807635,19.043941,-0.7131482,1,
11.99379,13.041707,7.4410195,4,
-7.258432,13.907902,-39.00594,0,
30.581528,-21.231024,10.882338,4,
4.3623824,-9.034285,11.403974,3,
-17.447563,-15.687324,11.018955,3,
26.182503,21.849518,1.3399581,1,
1.5654203,22.327242,-0.74996895,1,
-4.6952205,20.005583,7.0853252,1,
-6.3778076,-8.598298,7.338164,3,
34.074802,-11.435562,-9.499758,2,
7.8582635,11.87105,9.128475,1,
5.621323,-8.859972,6.2346706,4,
-16.393,21.625843,-30.79635,1,
-13.243153,13.936033,-6.441581,1,
13.996439,-25.40944,-21.570414,2,
-29.053102,14.317258,-2.326266,1,
5.6600513,-30.42525,-16.890005,2,
1.4525403,-44.381927,16.18162,2,
29.057514,26.643045,-9.868931,1,
8.823115,-24.29173,-4.222159,2,
-28.37185,24.648407,-3.7979398,1,
-20.602337,11.236337,19.435102,3,
16.602743,27.03842,23.798424,1,
28.231136,-2.7585406,15.114366,4,
-5.4687505,-23.095411,25.327684,3,
31.309135,18.396095,3.396788,1,
22.704401,-16.76968,7.4737535,2,
4.5320706,-5.4967904,18.124916,3,
19.45231,-27.979074,-16.128862,2,
-0.120337464,40.709236,0.7790955,1,
9.920892,-10.946542,-21.60896,4,
-9.368156,33.986073,-0.9705,1,
-30.498974,19.24408,-7.7076178,1,
8.455488,-21.395319,-0.2159356,2,
-26.237146,18.164915,-20.902521,1,
-5.318924,-33.793964,4.443708,2,
1.9026129,-7.593132,35.23234,4,
44.62782,5.364842,10.782803,1,
-5.308694,-22.958975,25.432589,3,
19.106598,3.9941366,27.394,1,
20.771324,16.132322,-0.32107925,4,
-3.593584,-9.8229265,3.1939528,3,
24.310509,3.0921636,-13.499044,4,
-0.01611994,2.7599058,1.8915974,1,
38.58604,13.467423,8.430074,1,
29.229208,-7.378872,18.649618,1,
-19.36026,-18.175032,-19.208546,0,
-30.484241,15.003341,-22.377035,1,
-6.4120317,3.1860635,46.26127,3,
20.309843,-17.918627,-10.753407,2,
2.2483504,1.8593439,20.61471,4,
28.60657,7.0972505,-0.010801609,1,
-25.536001,27.252583,-2.594594,1,
-35.73347,0.47594464,-4.943227,3,
16.534485,22.537767,16.693659,1,
5.9483414,-3.159319,-42.582336,0,
3.1720026,21.924864,-34.160416,1,
-16.141617,8.980448,8.018306,3,
8.012375,-3.8153412,35.08578,4,
-27.807234,13.661933,4.0282993,1,
2.0836713,0.9783371,19.846033,4,
13.8857155,2.527164,18.169533,4,
2.8608878,-10.298629,32.453316,3,
-11.558134,-4.6979923,20.821312,3,
-8.5870495,-10.999206,4.9205894,3,
0.34212956,-24.988684,-23.507572,2,
-35.789154,-4.0298433,12.173553,3,
10.185222,19.248228,-11.375254,1,
-28.681337,27.842062,6.4935226,3,
-29.187862,15.069866,-3.544042,1,
29.809517,1.1445361,7.7083364,4,
31.583967,11.993859,20.269407,1,
-30.14551,-3.4919884,18.52768,3,
11.504122,20.321108,25.773943,1,
15.352978,9.743456,-11.116378,1,
9.796892,42.572994,-13.7031975,1,
-7.413226,-26.269503,23.9692,3,
15.503703,3.383103,15.149593,4,
-0.21372749,-5.1589346,18.312696,3,
-9.066105,-9.272283,30.61069,3,
14.030778,2.9482448,-8.577517,4,
17.019808,-15.240111,19.379711,4,
21.82357,20.05401,-21.911253,1,
-3.6205604,4.4237695,1.5650202,1,
-7.9284377,-20.151724,-26.528429,0,
-15.034614,-23.808811,-16.773216,0,
40.09187,-0.005929982,19.844921,1,
-26.13382,15.848052,13.46551,3,
7.9245677,-3.5011725,21.35903,4,
-19.778633,0.94134456,36.633236,3,
14.0460205,24.793087,-21.918684,1,
-1.0734292,-5.8847203,17.6071,3,
-9.373568,-14.160909,-19.06504,0,
-7.545243,11.832375,-19.516006,0,
-19.805754,21.711441,23.967625,3,
-2.358913,16.410282,10.843285,1,
9.2823515,48.255302,-4.114947,1,
15.551641,21.547592,-12.182509,1,
-13.482481,33.698925,-14.65258,1,
26.931395,10.984984,14.213368,1,
-0.9397109,-13.095697,29.439238,3,
-41.010033,-5.3240175,2.7165446,3,
36.755253,-0.8611017,-1.1567615,4,
12.888829,37.103107,-7.3097944,1,
-4.2047834,3.5648015,21.653975,3,
-34.45889,9.755986,-12.679239,1,
-26.820656,4.7573757,-21.267843,0,
-31.621075,7.554368,15.007444,3,
17.372961,27.250975,18.834486,1,
14.699901,-17.83586,-16.160212,2,
9.347945,22.898384,-30.759422,1,
-12.774776,-1.2256849,19.427908,3,
12.504673,-9.776512,13.875525,4,
14.693842,-23.690842,-7.64242,2,
3.9103444,11.816995,16.2659,3,
-2.474852,34.847115,17.654688,1,
-5.8006525,-0.31534752,-22.121881,0,
-42.571014,-0.4944488,-8.653808,3,
-17.335241,9.215043,20.870874,3,
-5.9724765,-18.112757,4.458554,3,
-43.21764,3.5521674,11.325267,3,
7.4383435,-4.8678374,37.780296,3,
-0.20776963,11.126432,13.301061,3,
-9.704084,-8.9856415,30.807102,3,
1.5807056,30.949276,22.65354,1,
16.339005,1.4938843,-22.515762,1,
38.62437,0.97095877,9.617663,4,
24.034437,1.0300919,0.58141476,4,
39.93314,3.813533,-11.719564,4,
-17.782629,-0.062573835,-6.4579873,3,
9.351016,-3.8991666,8.431452,1,
10.804409,-6.4445276,19.756256,4,
3.60613,23.439756,4.2582946,4,
-23.276737,15.695572,-10.210417,1,
26.056896,1.5399213,11.50618,4,
30.347252,-21.696241,-9.882219,2,
8.249197,-7.4476542,18.473436,4,
22.147514,-4.8282156,-19.079868,1,
10.03595,-31.333233,-14.180446,2,
21.724863,1.545158,-7.120581,4,
14.54466,-11.354839,24.176908,4,
4.105437,8.277832,45.042736,3,
31.307976,-21.620874,2.1034012,2,
10.34992,34.35504,-2.0758705,4,
-4.5432262,10.337929,27.894932,3,
23.06149,2.9166818,34.58651,4,
1.9499395,-14.276096,28.020247,3,
2.312531,0.70148224,38.083435,3,
-0.034238137,19.297407,-19.559,1,
-31.21016,-15.2710285,-0.07181681,3,
4.316056,-14.670488,-4.2091475,4,
-7.569619,25.003937,-3.5764623,1,
38.057568,16.846212,11.972697,1,
-24.593388,24.652243,-4.9212294,1,
-30.855015,14.254071,-1.3111588,3,
26.302393,21.956242,1.3633462,1,
-0.31329423,-5.3356066,4.9598374,3,
1.5203527,22.862198,5.9625144,4,
2.8588934,-10.2956295,32.462803,3,
5.646751,22.528719,14.816145,1,
-16.136518,-23.039814,-25.71974,0,
30.739521,13.536512,19.698162,1,
-1.0425158,36.762554,-12.734345,1,
12.562785,-21.914274,-0.110999264,2,
-3.2331648,-4.1143074,31.95878,3,
-8.650933,20.931604,-12.786808,1,
7.911956,-20.629803,21.905052,4,
-26.833431,17.637901,-21.168056,1,
-1.9531158,19.365898,-12.712918,1,
-26.625803,5.8248663,8.351261,4,
7.6755023,-2.3855677,34.672234,4,
-43.876007,2.3702154,10.610356,3,
-8.457095,9.936867,-19.300676,0,
22.71215,-0.05663499,20.771458,1,
29.045444,14.081956,15.287415,1,
-22.095676,23.658682,12.531517,3,
9.596756,27.834538,-15.639847,1,
-16.05403,-1.4327186,-13.899238,0,
-0.83800334,33.57298,21.953533,1,
40.654922,-3.0253496,10.097408,1,
7.427493,-4.917533,37.85753,3,
-6.0859804,-1.8206604,-35.610565,0,
14.722348,4.8089013,-13.841233,1,
-31.620071,-8.2772255,-8.877545,0,
32.341484,1.1532615,-16.286245,1,
3.3990164,5.232389,-38.296894,0,
21.96186,3.831612,34.303528,1,
16.689932,-20.72304,6.6134453,2,
-19.748913,14.794551,-1.3719931,4,
-28.98419,-3.8220677,16.860916,3,
-15.052202,11.489388,-23.862183,0,
-28.190119,-1.9187845,-11.512357,0,
-18.364603,2.0019152,8.782918,3,
-12.014332,-6.590066,30.5276,3,
-5.544282,-3.8978126,-18.606258,0,
8.50292,12.122521,-25.446514,1,
-1.1447649,-14.723303,2.3903027,0,
11.478257,23.965298,-11.4579735,4,
3.9396362,18.957008,30.205595,3,
10.935908,-16.425585,28.140673,4,
9.741833,25.58888,14.423608,1,
29.758123,-0.22431827,1.9529052,4,
-6.484618,5.4994826,35.49124,3,
4.8413033,5.6844697,40.140926,3,
31.60603,-25.655535,-1.7994642,2,
17.665749,12.09093,-17.519987,1,
-6.4271164,3.961698,14.793101,4,
-1.1358553,30.931355,-9.442422,1,
-18.659607,1.7201195,8.67848,3,
11.428994,38.03963,-10.855508,1,
1.8075912,-31.713604,4.6831164,2,
-13.684558,24.813572,-27.951992,1,
21.62578,2.3695,7.326731,4,
30.214506,3.35789,-22.758476,1,
7.3605103,0.47614178,33.471172,4,
-4.027634,13.473438,-2.3523874,2,
-16.714193,18.61532,-15.679461,1,
-24.645395,-22.322813,19.404112,3,
-4.9457836,5.6197686,12.538571,3,
